dimension,train,test,scaling,pca_comp,whiten,model,metric,score,date
arousal,pmemo,deam,standard,4,True,SVRrbf,r2,-0.16,2019-12-21_09-57-02
valence,pmemo,deam,standard,4,True,SVRlin,rmse,0.153,2019-12-21_09-57-02
valence,pmemo,deam,standard,4,True,SVRlin,r2,-0.09,2019-12-21_09-57-02
arousal,pmemo,deam,standard,4,True,SVRlin,rmse,0.16,2019-12-21_09-57-02
arousal,pmemo,deam,standard,4,True,SVRlin,r2,0.02,2019-12-21_09-57-02
valence,deam,pmemo,standard,4,True,Ridge,rmse,0.159,2019-12-21_09-57-02
valence,deam,pmemo,standard,4,True,Ridge,r2,0.04,2019-12-21_09-57-02
arousal,deam,pmemo,standard,4,True,Ridge,rmse,0.173,2019-12-21_09-57-02
arousal,deam,pmemo,standard,4,True,Ridge,r2,0.12,2019-12-21_09-57-02
valence,deam,pmemo,standard,4,True,SVRrbf,rmse,0.149,2019-12-21_09-57-02
valence,deam,pmemo,standard,4,True,SVRrbf,r2,0.15,2019-12-21_09-57-02
arousal,deam,pmemo,standard,4,True,SVRrbf,rmse,0.187,2019-12-21_09-57-02
arousal,deam,pmemo,standard,4,True,SVRrbf,r2,-0.03,2019-12-21_09-57-02
valence,deam,pmemo,standard,4,True,SVRlin,rmse,0.159,2019-12-21_09-57-02
valence,deam,pmemo,standard,4,True,SVRlin,r2,0.04,2019-12-21_09-57-02
arousal,deam,pmemo,standard,4,True,SVRlin,rmse,0.159,2019-12-21_09-57-02
arousal,deam,pmemo,standard,4,True,SVRlin,r2,0.25,2019-12-21_09-57-02
